3-2_ReductionFactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/4_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/5_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/6_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/7_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/8_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/9_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/10_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/11_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2026/12_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/1_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/2_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB,2027/3_,ñkäCìπ,ìåñk,ìåãû,íÜïî,ñkó§,ä÷êº,íÜçë,élçë,ã„èB
05:00Å`05:30,0.93,1,1,1,1,1,1,1,1,05:00Å`05:30,0.153,0,0.667,1,1,1,1,1,1,05:00Å`05:30,0.215,0,0.225,0,0.03,0,0,1,1,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,,05:00Å`05:30,,,,,,,,,
05:30Å`06:00,0.932,0.082,1,1,1,1,1,1,1,05:30Å`06:00,0.189,0,1,0,0.394,1,0.208,1,1,05:30Å`06:00,0.5,0,0.314,0,0.092,0.204,0.213,1,1,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,,05:30Å`06:00,,,,,,,,,
06:00Å`06:30,0.517,0.213,0.306,0.143,0,0,1,1,1,06:00Å`06:30,0.366,0,0.887,0,0.266,0,0.129,1,0.085,06:00Å`06:30,0.144,0,0.575,0,0.031,0,0.117,0.986,0.113,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,,06:00Å`06:30,,,,,,,,,
06:30Å`07:00,0.811,0.488,0.793,0.132,0.348,0,0.059,1,0.035,06:30Å`07:00,0.457,0,0.942,0.087,0.274,0,0.021,0.94,0.066,06:30Å`07:00,0.386,0,0.719,0.073,0.166,0,0.127,0.875,0.188,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,,06:30Å`07:00,,,,,,,,,
07:00Å`07:30,0.844,0.632,0.804,0.058,0.534,0,0.242,0.916,0.252,07:00Å`07:30,0.46,0.013,0.873,0.12,0.206,0,0.094,0.863,0.077,07:00Å`07:30,0.412,0,0.723,0.145,0.22,0,0.242,0.791,0.251,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,,07:00Å`07:30,,,,,,,,,
07:30Å`08:00,0.876,0.639,0.786,0.052,0.552,0.106,0.271,0.888,0.369,07:30Å`08:00,0.597,0.005,0.805,0.184,0.239,0.063,0.084,0.799,0.151,07:30Å`08:00,0.661,0,0.577,0.121,0.198,0.048,0.17,0.78,0.217,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,,07:30Å`08:00,,,,,,,,,
08:00Å`08:30,0.931,0.701,0.753,0.084,0.541,0.191,0.239,0.824,0.293,08:00Å`08:30,0.58,0.016,0.69,0.198,0.273,0.195,0.201,0.763,0.184,08:00Å`08:30,0.563,0.017,0.544,0.129,0.131,0.261,0.169,0.667,0.191,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,,08:00Å`08:30,,,,,,,,,
08:30Å`09:00,0.953,0.62,0.686,0.114,0.542,0.211,0.289,0.793,0.316,08:30Å`09:00,0.589,0.014,0.597,0.136,0.22,0.23,0.105,0.703,0.203,08:30Å`09:00,0.445,0.015,0.478,0.138,0.079,0.313,0.241,0.624,0.198,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,,08:30Å`09:00,,,,,,,,,
09:00Å`09:30,0.899,0.415,0.599,0.188,0.49,0.597,0.433,0.909,0.28,09:00Å`09:30,0.507,0.007,0.659,0.127,0.026,0.677,0.161,0.791,0.221,09:00Å`09:30,0.383,0.009,0.394,0.184,0,0.62,0.18,0.565,0.245,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,,09:00Å`09:30,,,,,,,,,
09:30Å`10:00,0.888,0.411,0.597,0.211,0.447,0.588,0.481,0.881,0.197,09:30Å`10:00,0.538,0.007,0.649,0.142,0.021,0.672,0.297,0.764,0.245,09:30Å`10:00,0.363,0.009,0.356,0.174,0.034,0.611,0.217,0.532,0.314,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,,09:30Å`10:00,,,,,,,,,
